X,population,gdp_per_capita,human_development_index,v2x_libdem,v2x_freexp_altinf,median_age,aged_70_older,life_expectancy,stringency_index,daily_covid_deaths,daily_covid_deaths_per_100k,daily_covid_cases,daily_covid_cases_per_100k,daily_tests,daily_tests_per_100k,daily_positive_rate,democracy,PR.rating,CL.rating,Total,democ,autoc,polity,polity2,area_ifr,pop.2020,pop.adult,pop.60plus,cases,new_cases_7dma,cases.100k.pop,new.cases.100k.pop,deaths,cfr,total.vaccinations,first.dose,second.dose,first.dose.pct,second.dose.pct,vaccinations.perday.100k.pop,log_gdp_ppp,case_ir,death_r,pred_ir,pred_ir_low,pred_ir_high,pred_cases,pred_cases_low,pred_cases_high,iso3c,region,date
41409,1886202,25063.846,0.866,0.712,0.958,43.9,14.136,75.29,47.22,0,0,6.571,0.348372019539795,1811,96.0130463227162,0.4,1,1,2,89,8,0,8,8,0.952783942668027,1886202,1489709,520135,1303,6.57142857142857,69.0806180886246,0.348394740935943,32,2.456,NA,NA,NA,NA,NA,NA,-10.4482121319964,6.90806180886246e-4,1.69653091238372e-5,0.0732588269793378,0.0631051989792345,0.0862373917668995,138180.945966081,119029.15252503,162661.140825509,LVA,Europe,2020-08-12
41410,1886202,25063.846,0.866,0.712,0.958,43.9,14.136,75.29,47.22,0,0,4.571,0.242338837515812,1845,97.8156104171239,0.2,1,1,2,89,8,0,8,8,0.952783942668027,1886202,1489709,520135,1307,4.57142857142857,69.2926844526726,0.24236155891196,32,2.448,NA,NA,NA,NA,NA,NA,-10.4482121319964,6.92926844526726e-4,1.69653091238372e-5,0.0732959304352457,0.0631456435069923,0.0862373917668995,138250.930578821,119105.439074176,162661.140825509,LVA,Europe,2020-08-13
41411,1886202,25063.846,0.866,0.712,0.958,43.9,14.136,75.29,47.22,0,0,3.857,0.20448499153325,1784,94.5815983653925,0.2,1,1,2,89,8,0,8,8,0.952783942668027,1886202,1489709,520135,1308,3.85714285714286,69.3457010436846,0.204492565331966,32,2.446,NA,NA,NA,NA,NA,NA,-10.4482121319964,6.93457010436846e-4,1.69653091238372e-5,0.0733254782310903,0.063179094258631,0.0862373917668995,138306.663690439,119168.533948818,162661.140825509,LVA,Europe,2020-08-14
41412,1886202,25063.846,0.866,0.712,0.958,43.9,14.136,75.29,47.22,0,0,3.857,0.20448499153325,1782,94.4755651833685,0.2,1,1,2,89,8,0,8,8,0.952783942668027,1886202,1489709,520135,1315,3.85714285714286,69.7168171807685,0.204492565331966,32,2.433,NA,NA,NA,NA,NA,NA,-10.4482121319964,6.97168171807685e-4,1.69653091238372e-5,0.0733531332443727,0.0632107929867931,0.0862373917668995,138358.826631802,119228.324153275,162661.140825509,LVA,Europe,2020-08-15
41413,1886202,25063.846,0.866,0.712,0.958,43.9,14.136,75.29,47.22,0,0,4.571,0.242338837515812,1729,91.6656858597329,0.3,1,1,2,89,8,0,8,8,0.952783942668027,1886202,1489709,520135,1322,4.57142857142857,70.0879333178525,0.24236155891196,32,2.421,NA,NA,NA,NA,NA,NA,-10.4482121319964,7.00879333178525e-4,1.69653091238372e-5,0.0733861433654486,0.063247430671895,0.0862373917668995,138421.090388196,119297.43022819,162661.140825509,LVA,Europe,2020-08-16
41414,1886202,25063.846,0.866,0.712,0.958,43.9,14.136,75.29,41.67,0,0,4.714,0.249920210030527,1760,93.3092001811047,0.3,1,1,2,89,8,0,8,8,0.952783942668027,1886202,1489709,520135,1323,4.71428571428571,70.1409499088645,0.249935357627959,32,2.419,NA,NA,NA,NA,NA,NA,-10.4482121319964,7.01409499088645e-4,1.69653091238372e-5,0.073418986450333,0.0632839044019696,0.0862373917668995,138483.039080591,119366.227050804,162661.140825509,LVA,Europe,2020-08-17
41415,1886202,25063.846,0.866,0.712,0.958,43.9,14.136,75.29,41.67,0.143,0.00758137251471475,4.286,0.227229109077395,1747,92.6199844979488,0.2,1,1,2,89,8,0,8,8,0.952783942668027,1886202,1489709,520135,1323,4.28571428571429,70.1409499088645,0.227213961479963,33,2.494,NA,NA,NA,NA,NA,NA,-10.4482121319964,7.01409499088645e-4,1.74954750339571e-5,0.0734406598824868,0.0633100512631411,0.0862373917668995,138523.919551666,119415.545312639,162661.140825509,LVA,Europe,2020-08-18
41416,1886202,25063.846,0.866,0.712,0.958,43.9,14.136,75.29,41.67,0.143,0.00758137251471475,3.286,0.174212518065403,1738,92.1428351788409,0.2,1,1,2,89,8,0,8,8,0.952783942668027,1886202,1489709,520135,1326,3.28571428571429,70.2999996819005,0.174197370467971,33,2.489,NA,NA,NA,NA,NA,NA,-10.4482121319964,7.02999996819005e-4,1.74954750339571e-5,0.0734550625421093,0.0633294864836351,0.0862373917668995,138551.085877052,119452.204064406,162661.140825509,LVA,Europe,2020-08-19
41417,1886202,25063.846,0.866,0.712,0.958,43.9,14.136,75.29,41.67,0.143,0.00758137251471475,2.857,0.151468400521259,1727,91.559652677709,0.2,1,1,2,89,8,0,8,8,0.952783942668027,1886202,1489709,520135,1327,2.85714285714286,70.3530162729124,0.151475974319975,33,2.487,NA,NA,NA,NA,NA,NA,-10.4482121319964,7.03530162729124e-4,1.74954750339571e-5,0.0734765028778672,0.0633554055657927,0.0862373917668995,138591.526681239,119501.092689009,162661.140825509,LVA,Europe,2020-08-20
41418,1886202,25063.846,0.866,0.712,0.958,43.9,14.136,75.29,41.67,0.143,0.00758137251471475,3.143,0.166631145550689,1713,90.8174204035411,0.2,1,1,2,89,8,0,8,8,0.952783942668027,1886202,1489709,520135,1330,3.14285714285714,70.5120660459484,0.166623571751973,33,2.481,NA,NA,NA,NA,NA,NA,-10.4482121319964,7.05120660459484e-4,1.74954750339571e-5,0.0735168783892973,0.0633987416468408,0.0862373917668995,138667.683051649,119582.833291754,162661.140825509,LVA,Europe,2020-08-21
